g_signal_ratio,log_tokens,cooks_d,stock_code,fiscal_year
0.0276,9.0356,0.00266,009830,2023
0.0936,7.4448,0.00077,042660,2023
0.1445,7.5186,0.00178,011200,2023
0.0706,8.1764,0.00027,011780,2023
0.0347,9.4594,8e-05,047050,2023
0.0345,8.5927,0.00021,021240,2023
0.0205,9.6569,0.00485,015760,2023
0.0538,8.865,0.00017,009150,2023
0.0311,8.9517,0.00013,000720,2023
0.1108,7.7381,0.00064,018260,2023
0.0553,8.962,0.00017,028050,2023
0.1508,7.0229,0.03092,003240,2023
0.0368,9.1424,0.0026,011170,2023
0.0735,7.5522,0.00743,011790,2023
0.1444,7.8652,0.00198,035720,2023
0.022,9.0908,0.00302,000150,2023
0.0794,6.9167,0.00201,024110,2023
0.1162,7.7437,0.00092,005830,2023
0.0575,4.4773,0.05306,032830,2023
0.0932,7.257,0.00087,120110,2023
0.1298,7.5229,0.00093,161390,2021
0.1242,7.5632,0.00811,161390,2022
0.1305,7.6862,0.01047,161390,2023
0.0836,7.9505,0.00035,180640,2021
0.0847,8.0097,0.00034,180640,2022
0.0859,7.6962,0.00046,180640,2023
0.0526,8.4185,0.00133,251270,2021
0.4,1.7918,0.26279,267250,2021
0.0176,9.6846,3e-05,267250,2022
0.018,9.5917,4e-05,267250,2023
0.1256,7.5761,0.00099,326030,2022
0.1234,7.6266,0.00093,326030,2023
0.1322,7.4442,0.0012,377300,2023
0.0462,7.8797,0.01347,010130,2021
0.0366,8.1981,0.01343,010130,2022
0.1368,6.5236,0.00981,010130,2023
0.0608,8.2385,0.00111,010140,2021
0.05,8.289,0.00145,010140,2022
0.0497,8.4902,0.00021,010140,2023
0.0452,8.3121,0.00029,010620,2021
0.0385,8.556,0.00188,010620,2022
0.0355,8.7443,0.00017,010620,2023
0.0754,8.5258,0.00027,010950,2021
0.0609,8.7231,0.0002,010950,2022
0.0587,8.874,0.00499,010950,2023
0.0449,8.5597,0.0089,000270,2023
0.1242,7.5246,0.00095,000810,2021
0.1038,7.6774,0.00055,000810,2022
0.1194,7.5812,0.00082,000810,2023
0.0337,9.3203,9e-05,005490,2021
0.0168,10.0736,0.0,005490,2022
0.0175,10.0861,0.00869,005490,2023
0.0392,9.0209,0.00013,028260,2021
0.034,9.2158,0.0001,028260,2022
0.0309,9.2824,0.0056,028260,2023
0.0473,9.3477,0.00013,086790,2021
0.0449,9.4726,0.00011,086790,2022
